 number_of_ancestors | child_occurences 
                1015 |                7
                1016 |                4
                1022 |                1
                1023 |                6
                1027 |                1
                1028 |                6
                1033 |                1
                1034 |                5
                1036 |                1
                1037 |                5
                1038 |                4
                1039 |               23
                1042 |                1
                1043 |                5
                1054 |                1
                1055 |                6
                1060 |                7
                1061 |               41
                1063 |                4
                1064 |                4
                1073 |                1
                1074 |                4
                1078 |                3
                1079 |               16
                1081 |                1
                1082 |                1
                1086 |                1
                1087 |                8
                1088 |                8
                1090 |                2
                1091 |               12
                1093 |               11
                1094 |               56
                1096 |                3
                1097 |                7
                1108 |                1
                1109 |                6
                1126 |                5
                1127 |               26
                1129 |                1
                1130 |                1
                1138 |                4
                1139 |               23
                1147 |                1
                1148 |                4
                1150 |                2
                1151 |               10
                1159 |                1
                1160 |                5
                1174 |                1
                1175 |                6
                1177 |                1
                1178 |                1
                1180 |                2
                1181 |               12
                1186 |                9
                1187 |               50
                1189 |                2
                1190 |                3
                1191 |                4
                1195 |                1
                1196 |                5
                1198 |                1
                1199 |                5
                1210 |                2
                1211 |               10
                1230 |                3
                1231 |               15
                1237 |                3
                1238 |               22
                1239 |               23
                1241 |                1
                1242 |                1
                1246 |                5
                1247 |               30
                1249 |                2
                1250 |                2
                1254 |                1
                1255 |                8
                1256 |               12
                1268 |                1
                1269 |                6
                1278 |                1
                1279 |                5
                1294 |                2
                1295 |               11
                1297 |                1
                1298 |                1
                1302 |                1
                1303 |                5
                1304 |                5
                1312 |                8
                1313 |               45
                1314 |                2
                1315 |               12
                1316 |                1
                1318 |                2
                1319 |                9
                1321 |                1
                1322 |                5
                1350 |                2
                1351 |                8
                1357 |                1
                1358 |                5
                1359 |                6
                1366 |                5
                1367 |               27
                1374 |                1
                1375 |                6
                1376 |                4
                1377 |                2
                1378 |               12
                1379 |                5
                1384 |                5
                1385 |               27
                1387 |                1
                1388 |                1
                1406 |                1
                1407 |                6
                1408 |                2
                1409 |               10
                1411 |                1
                1412 |                4
                1414 |                3
                1415 |               18
                1417 |                2
                1418 |                2
                1438 |                3
                1439 |               16
                1446 |                1
                1447 |                5
                1448 |                4
                1454 |                2
                1455 |               11
                1462 |                1
                1463 |                5
                1480 |                1
                1481 |                6
                1483 |                2
                1484 |                6
                1486 |                3
                1487 |               16
